TE,P,R2,tpm
LTR7,0.0001,0.56,0.410249622
MLT2A1,0.0001,0.53,1.175965839
THE1D,0.002,0.48,0.157113222
SVA_F,0.003,0.45,0.928293777
SVA_D,0.004,0.42,1.050687966
MLT1A1,0.006,0.39,0.224701945
MER5A,0.009,0.35,0.09637712
L1MCb,0.02,0.28,0.312288836
SVA_C,0.023,0.27,1.084045716
HERVH-int,0.024,0.27,0.408305132
FLAM_C,0.029,0.25,0.276801556
SVA_B,0.032,0.24,0.666549418
L3,0.032,0.24,0.063866403
L1MDa,0.041,0.21,0.160473572
LTR7B,0.068,0.16,1.396391301
THE1B,0.077,0.15,0.112434438
AluSx,0.082,0.14,0.080467169
AluSx1,0.101,0.12,0.083507906
AluSq,0.118,0.11,0.082537341
AluY,0.12,0.1,0.104598839
AluSz,0.133,0.09,0.074692463
AluSp,0.14,0.09,0.103644415
MLT1C,0.151,0.08,0.122353248
AluSg,0.151,0.08,0.083625567
AluSq2,0.152,0.08,0.076839359
AluSz6,0.154,0.08,0.06828746
AluSx3,0.174,0.07,0.082103119
MLT1B,0.207,0.05,0.074990441
AluSc8,0.211,0.05,0.084824061
HAL1,0.24,0.03,0.051870587
MLT1D,0.293,0.01,0.187258213
MIR,0.305,0.0001,0.04523597
L2a,0.323,0.0001,0.041397914
L2,0.326,0.0001,0.051413745
AluSc,0.347,0.0001,0.089186953
MIR3,0.362,0.0001,0.093129762
L2b,0.377,0.0001,0.04689508
MLT1E2,0.381,0.0001,0.300724872
AluJb,0.414,0.0001,0.088437298
MIRc,0.428,0.0001,0.068206885
L2c,0.507,0.0001,0.05076352
AluJr,0.554,0.0001,0.072345407
AluJo,0.57,0.0001,0.076585671
MIRb,0.649,0.0001,0.054837401
Tigger1,0.658,0.0001,0.044533084
LTR12C,0.846,0.0001,0.507804545
L1M5,0.876,0.0001,0.036286374
MLT1A0,0.927,0.0001,0.100508608
MLT1A,0.945,0.0001,0.141558398
MamRTE1,0.957,0.0001,0.391944472
