condition,type,X,m,n,k,p,p_adjust,logp
4C-ASO-down,ICM,483,2927,13345,2166,1.78E-08,5.84E-08,7.233950352
4C-ASO-down,TE,472,2482,13790,2166,1.08E-18,4.86E-18,17.31342062
4C-ASO-down,Morula,306,894,15378,2166,4.37E-62,2.62E-61,60.58136062
4C-ASO-down,8C,607,951,15321,2166,1.47485546787249e-316,5.30947968434097e-315,100
4C-ASO-up,4C,88,2342,13930,511,3.00E-02,6.76E-02,1.170326475
4C-ASO-up,Zygote_2C,306,3123,13149,511,1.05E-95,1.27E-94,93.89787975
8C-ASO-down,TE,230,2461,13504,1182,4.24E-05,1.27E-04,3.895593544
8C-ASO-down,Morula,226,916,15049,1182,1.37E-64,9.84E-64,63.00712882
8C-ASO-down,8C,349,952,15013,1182,5.23E-164,9.42E-163,100
8C-ASO-up,Zygote_2C,309,3115,12850,738,6.38E-47,3.28E-46,45.48391475
8C-ASO-up,4C,318,2347,13618,738,1.20E-82,1.08E-81,80.96815102
