gene,DUX4_siNC_1,DUX4_siNC_2,DUX4_siHNRNPU_1,DUX4_siHNRNPU_2,FC,TE,DUX4_siHNRNPU_1,DUX4_siHNRNPU_2,logFC,TE,DUX4_siHNRNPU_1,DUX4_siHNRNPU_2
MIR3,0.774254602,0.834561229,1.132562873,1.013623988,,MIR3,1.407945958,1.260087039,,MIR3,0.493591959,0.333523389
L2a,0.256171836,0.275303551,0.420078878,0.383166547,,L2a,1.580802755,1.441897617,,L2a,0.660657366,0.527968729
L3,0.465228444,0.506137195,0.688012824,0.6219112,,L3,1.416588762,1.280488366,,L3,0.502421002,0.356694145
MIR,0.368915399,0.400898213,0.609062801,0.556570492,,MIR,1.582364332,1.445987661,,MIR,0.662081812,0.532055241
L2b,0.33406251,0.359469157,0.518120497,0.471830135,,L2b,1.494150943,1.360659239,,L2b,0.5793259,0.444305806
L2c,0.290498337,0.316542564,0.486637835,0.442800754,,L2c,1.603311521,1.458882765,,L2c,0.681054766,0.544863954
AluSp,0.430883195,0.451345716,0.594943333,0.548934657,,AluSp,1.348727809,1.244426815,,AluSp,0.431599223,0.315481388
MIRb,0.393905809,0.429798516,0.651722023,0.588861302,,MIRb,1.582417387,1.429788054,,MIRb,0.662130183,0.515801304
MLT1A,0.208304116,0.209910127,0.28988077,0.266684567,,MLT1A,1.386278803,1.275349042,,MLT1A,0.471217435,0.350892143
MIRc,0.544727731,0.586795005,0.832735277,0.753344764,,MIRc,1.471884303,1.331559217,,MIRc,0.557664274,0.413116589
AluJo,0.444482067,0.474645759,0.711864027,0.650340565,,AluJo,1.548998968,1.415125397,,AluJo,0.631336183,0.500929899
AluJr,0.45565185,0.486700911,0.699141718,0.64209256,,AluJr,1.483821658,1.362743521,,AluJr,0.569317703,0.446514062
AluSx,0.38227749,0.404505112,0.551478465,0.513469294,,AluSx,1.401857295,1.305238048,,AluSx,0.487339494,0.384312949
AluSz6,0.408688402,0.434720892,0.631484834,0.580433754,,AluSz6,1.497457613,1.376398762,,AluSz6,0.582515166,0.460898499
L1M5,0.203966525,0.222984002,0.335085083,0.309409431,,L1M5,1.569667031,1.44939243,,L1M5,0.650458557,0.535448265
L2,0.252047727,0.269545075,0.413476227,0.373418205,,L2,1.58543686,1.43183803,,L2,0.664880423,0.517868304
AluSc,0.39454029,0.414988942,0.546608082,0.508621604,,AluSc,1.350434451,1.256586134,,AluSc,0.433423614,0.329509566
AluSz,0.377570362,0.400392972,0.556622745,0.513305213,,AluSz,1.430974239,1.319612868,,AluSz,0.516997701,0.400114751
AluY,0.263819618,0.277144963,0.352362297,0.321407577,,AluY,1.302718549,1.188275862,,AluY,0.381525425,0.248869802
AluSx3,0.470028319,0.508251185,0.621775335,0.566956959,,AluSx3,1.271160916,1.159089926,,AluSx3,0.346146672,0.2129925
AluSq,0.445989385,0.469149392,0.597783173,0.570558973,,AluSq,1.306431741,1.246934317,,AluSq,0.385631748,0.318385473
MLT1C,0.19773212,0.205939685,0.25110191,0.227615328,,MLT1C,1.244089416,1.127724677,,MLT1C,0.315090179,0.173414891
AluJb,0.43473175,0.459137586,0.643496578,0.587585413,,AluJb,1.439800096,1.314700906,,AluJb,0.52586852,0.394734624
AluSq2,0.363851104,0.385923611,0.505174696,0.46661542,,AluSq2,1.347537296,1.244681664,,AluSq2,0.430325203,0.31577681
MLT1D,0.179330558,0.187675776,0.228736863,0.208090193,,MLT1D,1.246500901,1.13398693,,MLT1D,0.317883926,0.181404012
FLAM_C,0.82044367,0.884027355,1.197737453,1.089545782,,FLAM_C,1.405406646,1.278456208,,FLAM_C,0.490987626,0.354402744
AluSg,0.41135742,0.432025212,0.554788164,0.507493379,,AluSg,1.315626248,1.203471259,,AluSg,0.395749697,0.267201688
AluSx1,0.393944106,0.415651232,0.57379583,0.532401818,,AluSx1,1.41748798,1.315229456,,AluSx1,0.503336501,0.395314515
MER5A,0.525559187,0.576491748,0.850323982,0.772787513,,MER5A,1.543166391,1.40245335,,MER5A,0.625893628,0.487952783
THE1B,0.153507061,0.159157997,0.209423379,0.192419843,,THE1B,1.339602067,1.230836885,,THE1B,0.421804507,0.299639583
THE1D,0.157413091,0.168800641,0.192371435,0.175989781,,THE1D,1.179419602,1.078984505,,THE1D,0.238077077,0.109674146
LTR7,11.53627272,11.91850392,20.078864,18.9695164,,LTR7,1.712134318,1.617539718,,LTR7,0.775795886,0.693801138
HAL1,0.195305278,0.216055775,0.339464811,0.315665989,,HAL1,1.650447015,1.534739308,,HAL1,0.722856824,0.61799362
MLT1A1,0.174421584,0.18060023,0.208914655,0.190566454,,MLT1A1,1.176911653,1.073547858,,MLT1A1,0.235006026,0.102386507
SVA_D,0.449101097,0.441296222,0.373729502,0.344108736,,SVA_D,0.839466818,0.772933001,,SVA_D,-0.252454795,-0.37158473
MLT1B,0.181350773,0.193699595,0.262923234,0.237445185,,MLT1B,1.40206893,1.26620425,,MLT1B,0.487557278,0.340510143
AluSc8,0.331376337,0.35708169,0.436484895,0.407516177,,AluSc8,1.26800728,1.183851915,,AluSc8,0.342563028,0.24348863
LTR12C,0.345212802,0.3503332,0.363125521,0.34200215,,LTR12C,1.044145233,0.983406271,,LTR12C,0.062322394,-0.02414054
MLT1A0,0.192382948,0.202654366,0.243386411,0.223313238,,MLT1A0,1.232219856,1.130593137,,MLT1A0,0.301259688,0.177079844
LTR7B,0.454147725,0.468123986,0.728705756,0.720570301,,LTR7B,1.580240936,1.562598727,,LTR7B,0.66014454,0.643947344
Tigger1,0.180221793,0.19127956,0.253908734,0.234325757,,Tigger1,1.366933024,1.261506883,,Tigger1,0.450942557,0.335148078
MamRTE1,2.339118948,2.48753607,2.865808455,2.606903887,,MamRTE1,1.187492557,1.0802114,,MamRTE1,0.247918471,0.111313679
MLT1E2,0.172263229,0.179669376,0.232764561,0.222057897,,MLT1E2,1.322779178,1.26193421,,MLT1E2,0.403572241,0.335636699
L1MDa,0.117616981,0.128358555,0.1794179,0.165447176,,L1MDa,1.45882719,1.345232771,,L1MDa,0.544808994,0.42785583
HERVH-int,8.551571224,9.15904443,16.04093333,14.66493498,,HERVH-int,1.811448415,1.65606157,,HERVH-int,0.857143723,0.727756311
MLT2A1,0.616451285,0.649673594,0.533851237,0.48729518,,MLT2A1,0.843283701,0.769742682,,MLT2A1,-0.245910024,-0.377551849
SVA_F,0.546820932,0.549445667,0.643451358,0.610729456,,SVA_F,1.173895763,1.114198784,,SVA_F,0.231304309,0.156006647
SVA_B,0.28963457,0.288096066,0.541455771,0.52540565,,SVA_B,1.874422914,1.818860269,,SVA_B,0.906446495,0.863034715
L1MCb,0.065744518,0.082970917,0.070222204,0.067893617,,L1MCb,0.944383534,0.913067524,,L1MCb,-0.082555208,-0.131206539
SVA_C,0.274081169,0.26509119,0.294326849,0.25153014,,SVA_C,1.091772766,0.933023126,,SVA_C,0.126672616,-0.100015254
